id-sum;anio;mes;dia;fecha;franja;tipo;subtipo;uso_arma;uso_moto;barrio;comuna;latitud;longitud;cantidad
88484;2023;MAYO;JUEVES;4/5/2023;8;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,651303;-58,500245;1
88485;2023;MAYO;MARTES;2/5/2023;3;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,64934019;-58,49947922;1
88486;2023;SEPTIEMBRE;LUNES;25/9/2023;20;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,649123;-58,499771;1
88487;2023;NOVIEMBRE;JUEVES;9/11/2023;19;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,64897815;-58,49995797;1
88488;2023;FEBRERO;JUEVES;16/2/2023;22;Robo;Robo total;SI;NO;MATADEROS;CC-09;-34,649708;-58,500596;1
88489;2023;ABRIL;DOMINGO;2/4/2023;21;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,650411;-58,501408;1
88490;2023;MARZO;LUNES;13/3/2023;9;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,649282;-58,500112;1
88491;2023;MARZO;VIERNES;17/3/2023;7;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,650502;-58,501275;1
88492;2023;FEBRERO;JUEVES;23/2/2023;7;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,662668;-58,489769;1
88493;2023;MARZO;MIERCOLES;29/3/2023;21;Robo;Robo total;NO;SI;MATADEROS;CC-09;-34,65009745;-58,500134;1
88494;2023;MARZO;JUEVES;30/3/2023;16;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,6507898;-58,50158237;1
88495;2023;MARZO;VIERNES;3/3/2023;20;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,65032055;-58,499846;1
88496;2023;MAYO;VIERNES;5/5/2023;11;Robo;Robo total;SI;NO;MATADEROS;CC-09;-34,64978139;-58,50051889;1
88497;2023;MAYO;MARTES;30/5/2023;19;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,650384;-58,501095;1
88498;2023;JUNIO;LUNES;26/6/2023;6;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,650495;-58,5013;1
88499;2023;JULIO;LUNES;31/7/2023;16;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,650495;-58,5013;1
88500;2023;OCTUBRE;LUNES;2/10/2023;12;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,6497111;-58,50041991;1
88501;2023;DICIEMBRE;LUNES;11/12/2023;16;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,649798;-58,500544;1
88502;2023;DICIEMBRE;DOMINGO;31/12/2023;22;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,649798;-58,500544;1
88503;2023;ENERO;LUNES;23/1/2023;16;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,651822;-58,501564;1
