"id-mapa","anio","mes","dia","fecha","franja","tipo","subtipo","uso_arma","uso_moto","barrio","comuna","latitud","longitud","cantidad"
338981,"2019","JULIO","LUNES","2019-07-01",22,"Robo","Robo total","NO","NO","LINIERS",9,"-34.643007","-58.510981",1
338982,"2019","OCTUBRE","LUNES","2019-10-28",11,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.643334","-58.509322",1
338983,"2019","ENERO","MIERCOLES","2019-01-16",12,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.643381","-58.510363",1
338984,"2019","JUNIO","LUNES","2019-06-24",21,"Hurto","Hurto automotor","NO","NO","LINIERS",9,"-34.639344","-58.511407",1
338985,"2019","JULIO","LUNES","2019-07-15",23,"Hurto","Hurto automotor","NO","NO","LINIERS",9,"-34.639847","-58.511228",1
338986,"2019","MAYO","SABADO","2019-05-04",9,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.64008","-58.51126",1
338987,"2019","SEPTIEMBRE","LUNES","2019-09-16",20,"Robo","Robo total","NO","NO","LINIERS",9,"-34.639419","-58.511212",1
338988,"2019","NOVIEMBRE","JUEVES","2019-11-07",2,"Robo","Robo total","SI","NO","LINIERS",9,"-34.639344","-58.511407",1
338989,"2019","DICIEMBRE","JUEVES","2019-12-12",21,"Robo","Robo total","SI","NO","LINIERS",9,"-34.639351","-58.51081",1
338990,"2019","JUNIO","VIERNES","2019-06-07",16,"Robo","Robo total","NO","SI","LINIERS",9,"-34.640318","-58.51115",1
338991,"2019","ENERO","MIERCOLES","2019-01-30",8,"Hurto","Hurto automotor","NO","NO","LINIERS",9,"-34.6412","-58.509966",1
338992,"2019","JULIO","VIERNES","2019-07-05",2,"Hurto","Hurto automotor","NO","NO","LINIERS",9,"-34.639344","-58.511407",1
338993,"2019","SEPTIEMBRE","LUNES","2019-09-16",11,"Robo","Robo total","NO","SI","LINIERS",9,"-34.6412","-58.509966",1
338994,"2019","DICIEMBRE","DOMINGO","2019-12-29",21,"Robo","Robo total","NO","NO","LINIERS",9,"-34.639351","-58.51081",1
338995,"2019","ABRIL","DOMINGO","2019-04-28",22,"Robo","Robo total","NO","NO","LINIERS",9,"-34.64022","-58.51113",1
338996,"2019","DICIEMBRE","VIERNES","2019-12-13",15,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.641619","-58.509347",1
338997,"2019","FEBRERO","DOMINGO","2019-02-17",19,"Robo","Robo total","NO","SI","LINIERS",9,"-34.640318","-58.51115",1
338998,"2019","FEBRERO","VIERNES","2019-02-01",9,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.640522","-58.511319",1
338999,"2019","MARZO","MIERCOLES","2019-03-27",6,"Robo","Robo total","NO","NO","LINIERS",9,"-34.639419","-58.511212",1
339000,"2019","JULIO","LUNES","2019-07-01",14,"Robo","Robo total","NO","NO","LINIERS",9,"-34.639344","-58.511407",1
339001,"2019","JULIO","MARTES","2019-07-23",2,"Robo","Robo total","NO","NO","LINIERS",9,"-34.640062","-58.511265",1
339002,"2019","JULIO","MARTES","2019-07-30",15,"Robo","Robo total","NO","SI","LINIERS",9,"-34.641841","-58.510619",1
339003,"2019","SEPTIEMBRE","DOMINGO","2019-09-01",5,"Robo","Robo total","NO","NO","LINIERS",9,"-34.639344","-58.511407",1
339004,"2019","OCTUBRE","LUNES","2019-10-21",16,"Robo","Robo total","NO","NO","LINIERS",9,"-34.641109","-58.510017",1
339005,"2019","NOVIEMBRE","VIERNES","2019-11-01",0,"Robo","Robo total","SI","NO","LINIERS",9,"-34.640159","-58.510474",1
339006,"2019","NOVIEMBRE","MARTES","2019-11-26",0,"Robo","Robo total","NO","SI","LINIERS",9,"-34.64022","-58.51113",1
339007,"2019","DICIEMBRE","VIERNES","2019-12-20",0,"Robo","Robo total","NO","NO","LINIERS",9,"-34.641885","-58.510727",1
339008,"2019","ABRIL","MARTES","2019-04-23",12,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.640748","-58.510508",1
339009,"2019","ABRIL","MARTES","2019-04-23",21,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.642451","-58.511295",1
339010,"2019","MARZO","DOMINGO","2019-03-10",23,"Robo","Robo automotor","SI","NO","LINIERS",9,"-34.643052","-58.509266",1
339011,"2019","MAYO","DOMINGO","2019-05-19",3,"Robo","Robo total","NO","NO","LINIERS",9,"-34.643769","-58.509998",1
339012,"2019","OCTUBRE","JUEVES","2019-10-31",22,"Hurto","Hurto automotor","NO","NO","LINIERS",9,"-34.640318","-58.51115",1
339013,"2019","ENERO","SABADO","2019-01-05",3,"Robo","Robo automotor","SI","NO","LINIERS",9,"-34.639419","-58.511212",1
339014,"2019","ENERO","MIERCOLES","2019-01-02",17,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.641721","-58.510605",1
339015,"2019","DICIEMBRE","LUNES","2019-12-16",12,"Robo","Robo total","NO","NO","LINIERS",9,"-34.642307","-58.510238",1
339016,"2019","OCTUBRE","VIERNES","2019-10-04",12,"Robo","Robo total","NO","SI","LINIERS",9,"-34.643322","-58.512328",1
339017,"2019","JUNIO","LUNES","2019-06-03",8,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.643322","-58.512328",1
339018,"2019","AGOSTO","DOMINGO","2019-08-04",16,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.642726","-58.511923",1
339019,"2019","NOVIEMBRE","VIERNES","2019-11-15",12,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.643408","-58.511972",1
339020,"2019","ABRIL","SABADO","2019-04-27",10,"Hurto","Hurto automotor","NO","NO","LINIERS",9,"-34.644964","-58.51191",1
339021,"2019","SEPTIEMBRE","JUEVES","2019-09-05",20,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.646664","-58.511837",1
339022,"2019","SEPTIEMBRE","MARTES","2019-09-24",7,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.646723","-58.51166",1
339023,"2019","ABRIL","MIERCOLES","2019-04-10",9,"Robo","Robo total","NO","NO","LINIERS",9,"-34.646227","-58.512533",1
339024,"2019","OCTUBRE","LUNES","2019-10-21",14,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.644769","-58.512264",1
339025,"2019","OCTUBRE","JUEVES","2019-10-24",19,"Hurto","Hurto automotor","NO","NO","LINIERS",9,"-34.646723","-58.51166",1
339026,"2019","ENERO","MIERCOLES","2019-01-30",1,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.648692","-58.511913",1
339027,"2019","DICIEMBRE","MARTES","2019-12-03",0,"Robo","Robo total","NO","NO","LINIERS",9,"-34.648322","-58.512413",1
339028,"2019","MARZO","SABADO","2019-03-02",17,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.646754","-58.511785",1
339029,"2019","JUNIO","VIERNES","2019-06-21",8,"Robo","Robo total","NO","NO","LINIERS",9,"-34.646869","-58.511915",1
339030,"2019","JULIO","MARTES","2019-07-02",6,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.642703","-58.511789",1
339031,"2019","OCTUBRE","JUEVES","2019-10-03",17,"Robo","Robo total","NO","NO","LINIERS",9,"-34.644127","-58.511432",1
339032,"2019","OCTUBRE","MARTES","2019-10-15",20,"Robo","Robo total","NO","NO","LINIERS",9,"-34.646754","-58.511785",1
339033,"2019","DICIEMBRE","JUEVES","2019-12-26",16,"Robo","Robo total","NO","NO","LINIERS",9,"-34.645441","-58.512558",1
339034,"2019","ENERO","MARTES","2019-01-15",23,"Robo","Robo total","NO","NO","LINIERS",9,"-34.645594","-58.51132",1
339035,"2019","MAYO","JUEVES","2019-05-30",17,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.646723","-58.51166",1
339036,"2019","DICIEMBRE","SABADO","2019-12-21",19,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.642816","-58.511687",1
339037,"2019","JULIO","JUEVES","2019-07-25",16,"Robo","Robo total","NO","NO","LINIERS",9,"-34.648692","-58.511913",1
339038,"2019","DICIEMBRE","DOMINGO","2019-12-22",22,"Robo","Robo total","NO","NO","LINIERS",9,"-34.649059","-58.511413",1
339039,"2019","NOVIEMBRE","DOMINGO","2019-11-24",23,"Robo","Robo total","NO","NO","LINIERS",9,"-34.645946","-58.505418",1
339040,"2019","FEBRERO","SABADO","2019-02-02",23,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.64677","-58.506323",1
339041,"2019","MAYO","VIERNES","2019-05-03",8,"Robo","Robo total","NO","NO","LINIERS",9,"-34.646165","-58.505077",1
339042,"2019","DICIEMBRE","LUNES","2019-12-09",17,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.645499","-58.503997",1
339043,"2019","DICIEMBRE","DOMINGO","2019-12-15",20,"Robo","Robo total","NO","SI","LINIERS",9,"-34.645946","-58.505418",1
339044,"2019","FEBRERO","LUNES","2019-02-04",2,"Robo","Robo total","NO","NO","LINIERS",9,"-34.645488","-58.505996",1
339045,"2019","MAYO","LUNES","2019-05-06",19,"Robo","Robo total","NO","NO","LINIERS",9,"-34.645675","-58.505148",1
339046,"2019","ENERO","JUEVES","2019-01-10",8,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.645924","-58.503514",1
339047,"2019","ABRIL","MIERCOLES","2019-04-03",18,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.646334","-58.505816",1
